Token                ST_Pos
INT                  -1
ARRAY                -1
[                    -1
100                  48
]                    -1
:                    -1
numbers              85
;                    -1
INT                  -1
:                    -1
len                  28
,                    -1
n                    13
,                    -1
i                    8
;                    -1
INT                  -1
:                    -1
sum                  50
;                    -1
{                    -1
len                  28
<-                   -1
100                  48
;                    -1
i                    8
<-                   -1
0                    49
;                    -1
sum                  50
<-                   -1
0                    49
;                    -1
WHILE                -1
(                    -1
i                    8
<                    -1
len                  28
OR                   -1
n                    13
!=                   -1
0                    49
)                    -1
READ                 -1
(                    -1
n                    13
)                    -1
;                    -1
numbers              85
[                    -1
i                    8
]                    -1
<-                   -1
n                    13
;                    -1
i                    8
<-                   -1
i                    8
+                    -1
1                    51
;                    -1
ENDWHILE             -1
length               60
<-                   -1
i                    8
;                    -1
FOR                  -1
(                    -1
i                    8
<-                   -1
0                    49
;                    -1
i                    8
<                    -1
len                  28
;                    -1
i                    8
++                   -1
)                    -1
sum                  50
<-                   -1
sum                  50
+                    -1
numbers              85
[                    -1
i                    8
]                    -1
;                    -1
ENDFOR               -1
WRITE                -1
(                    -1
sum                  50
)                    -1
;                    -1
}                    -1
