Token                ST_Pos
INT                  41
ARRAY                92
[                    -1
100                  48
]                    -1
:                    -1
numbers              85
;                    -1
INT                  41
:                    -1
len                  28
,                    -1
n                    13
,                    -1
i                    8
;                    -1
INT                  41
:                    -1
sum                  50
;                    -1
{                    -1
len                  28
<-                   -1
100                  48
;                    -1
i                    8
<-                   -1
0                    49
;                    -1
sum                  50
<-                   -1
0                    49
;                    -1
WHILE                86
(                    -1
i                    8
<                    -1
len                  28
OR                   64
n                    13
!=                   -1
0                    49
)                    -1
READ                 90
(                    -1
n                    13
)                    -1
;                    -1
numbers              85
[                    -1
i                    8
]                    -1
<-                   -1
n                    13
;                    -1
i                    8
<-                   -1
i                    8
+                    -1
1                    51
;                    -1
ENDWHILE             10
length               60
<-                   -1
i                    8
;                    -1
FOR                  37
(                    -1
i                    8
<-                   -1
0                    49
;                    -1
i                    8
<                    -1
len                  28
;                    -1
i                    8
++                   -1
)                    -1
sum                  50
<-                   -1
sum                  50
+                    -1
numbers              85
[                    -1
i                    8
]                    -1
;                    -1
ENDFOR               58
WRITE                7
(                    -1
sum                  50
)                    -1
;                    -1
}                    -1
